FIPS, ISO3, Extended Name, ISO2
AJ,AZE,Azerbaijan,AZ
AL,ALB,Albania,AL
AM,ARM,Armenia,AM
BK,BIH,Bosnia and Herzegovina,BA
BU,BGR,Bulgaria,BG
CY,CYP,Cyprus,CY
DA,DNK,Denmark,DK
EI,IRL,Ireland,IE
EN,EST,Estonia,EE
AU,AUT,Austria,AT
EZ,CZE,Czech Republic,CZ
FI,FIN,Finland,FI
FR,FRA,France,FR
GG,GEO,Georgia,GE
GM,DEU,Germany,DE
GR,GRC,Greece,GR
HR,HRV,Croatia,HR
HU,HUN,Hungary,HU
IC,ISL,Iceland,IS
IS,ISR,Israel,IL
IT,ITA,Italy,IT
LG,LVA,Latvia,LV
BO,BLR,Belarus,BY
LH,LTU,Lithuania,LT
LO,SVK,Slovakia,SK
LS,LIE,Liechtenstein,LI
MK,MKD,The former Yugoslav Republic of Macedonia,MK
MT,MLT,Malta,MT
BE,BEL,Belgium,BE
FO,FRO,Faroe Islands,FO
AN,AND,Andorra,AD
LU,LUX,Luxembourg,LU
MN,MCO,Monaco,MC
MJ,MNE,Montenegro,ME
NL,NLD,Netherlands,NL
NO,NOR,Norway,NO
PL,POL,Poland,PL
PO,PRT,Portugal,PT
RO,ROU,Romania,RO
MD,MDA,Republic of Moldova,MD
SI,SVN,Slovenia,SI
SP,ESP,Spain,ES
SW,SWE,Sweden,SE
SZ,CHE,Switzerland,CH
TU,TUR,Turkey,TR
UK,GBR,United Kingdom,GB
UP,UKR,Ukraine,UA
SM,SMR,San Marino,SM
RB,SRB,Serbia,RS
VT,VAT,Holy See (Vatican City),VA
RS,RUS,Russia,RU
